,acceptedScientificName,acceptedTaxonKey,accessRights,associatedReferences,basisOfRecord,bibliographicCitation,catalogNumber,class,classKey,collectionCode,collectionID,collectionKey,continent,coordinatePrecision,coordinateUncertaintyInMeters,country,countryCode,county,crawlId,datasetID,datasetKey,datasetName,dateIdentified,day,decimalLatitude,decimalLongitude,disposition,dynamicProperties,earliestAgeOrLowestStage,elevation,endDayOfYear,establishmentMeans,eventDate,eventID,eventTime,extensions,facts,family,familyKey,fieldNumber,footprintWKT,gadm,gbifID,genericName,genus,genusKey,geodeticDatum,georeferenceProtocol,georeferenceRemarks,georeferenceSources,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,habitat,higherClassification,higherGeography,higherGeographyID,hostingOrganizationKey,http://unknown.org/species,http://unknown.org/taxonRankID,identificationQualifier,identificationRemarks,identificationVerificationStatus,identifiedBy,identifiedByIDs,identifier,identifiers,inCluster,individualCount,installationKey,institutionCode,institutionID,institutionKey,isInCluster,island,islandGroup,issues,iucnRedListCategory,key,kingdom,kingdomKey,language,lastCrawled,lastInterpreted,lastParsed,license,lifeStage,lithostratigraphicTerms,locality,locationAccordingTo,locationID,locationRemarks,materialSampleID,media,modified,month,namePublishedInYear,networkKeys,nomenclaturalCode,occurrenceID,occurrenceRemarks,occurrenceStatus,order,orderKey,organismID,organismQuantityType,otherCatalogNumbers,ownerInstitutionCode,phylum,phylumKey,preparations,previousIdentifications,projectId,protocol,publishingCountry,publishingOrgKey,recordNumber,recordedBy,recordedByIDs,references,relations,relationshipOfResource,rightsHolder,samplingProtocol,scientificName,sex,species,speciesKey,specificEpithet,startDayOfYear,stateProvince,taxonConceptID,taxonID,taxonKey,taxonRank,taxonomicStatus,type,verbatimCoordinateSystem,verbatimElevation,verbatimEventDate,verbatimLocality,verbatimSRS,verbatimTaxonRank,vernacularName,waterBody,year
0,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,100.0,Australia,AU,,247,14499,e4473544-f4cd-4429-b791-39d6e1fdb0a4,Terry Reis Incidental Records,,12.0,-27.21067,152.81187,,,,,,,2021-01-12T00:00:00,2010510,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.44_1', 'name': 'Moreton Bay'}}",3778933119,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Confirmed,,[],4395050e-92bb-4f20-8b57-c4fbb121dcca,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,199,,False,,,['COORDINATE_ROUNDED'],NT,3778933119,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:29.461+00:00,2022-05-30T23:13:29.461+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,"Lees Crossing, Dayboro",,1741529,,,[],2021-03-19T06:27:34.000+00:00,1.0,,,,4395050e-92bb-4f20-8b57-c4fbb121dcca,,PRESENT,Monotremata,791,,,,Private Individual,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
1,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,50.0,Australia,AU,,247,14499,e4473544-f4cd-4429-b791-39d6e1fdb0a4,Terry Reis Incidental Records,,4.0,-17.47726,145.49809,,,,,,,2021-03-04T00:00:00,2031150,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.63_1', 'name': 'Tablelands'}}",3779489106,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Confirmed,,[],ecd81e04-8588-4484-b30e-1808c3092aa8,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,199,,False,,,['COORDINATE_ROUNDED'],NT,3779489106,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:05.743+00:00,2022-05-30T23:13:05.743+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,"Possum Valley, near Ravenshoe",,1759421,,,[],2021-06-28T23:42:13.000+00:00,3.0,,,,ecd81e04-8588-4484-b30e-1808c3092aa8,,PRESENT,Monotremata,791,,,,Private Individual,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
2,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,50.0,Australia,AU,,247,103,e4473544-f4cd-4429-b791-39d6e1fdb0a4,WildNet Incidental Records,,18.0,-27.549706,152.953275,,,,,,,2021-06-18T00:00:00,2030866,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.8_1', 'name': 'Brisbane'}}",3779055544,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Unconfirmed,,[],60ab28c0-9e4c-42a3-bfcf-c343fb3eee57,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3779055544,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:30.745+00:00,2022-05-30T23:13:30.745+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,Left of the bridge near the playground located at the corner of of Edenbrooke Dr and Barklya Cres Sinnamon Park,,1759502,,,[],2021-06-28T23:42:16.000+00:00,6.0,,,,60ab28c0-9e4c-42a3-bfcf-c343fb3eee57,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
3,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,50.0,Australia,AU,,247,103,e4473544-f4cd-4429-b791-39d6e1fdb0a4,WildNet Incidental Records,,16.0,-27.549706,152.953275,,,,,,,2021-06-16T00:00:00,2030865,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.8_1', 'name': 'Brisbane'}}",3779919745,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Unconfirmed,,[],8d284ffe-33da-42ba-88b8-4f31fd1ca54f,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3779919745,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:03.453+00:00,2022-05-30T23:13:03.453+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,Left of the bridge near the playground located at the corner of of Edenbrooke Dr and Barklya Cres Sinnamon Park,,1759501,,,[],2021-06-28T23:42:16.000+00:00,6.0,,,,8d284ffe-33da-42ba-88b8-4f31fd1ca54f,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
4,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,50.0,Australia,AU,,247,103,e4473544-f4cd-4429-b791-39d6e1fdb0a4,WildNet Incidental Records,,19.0,-27.549706,152.953275,,,,,,,2021-06-19T00:00:00,2030867,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.8_1', 'name': 'Brisbane'}}",3780170606,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Unconfirmed,,[],bc663a3a-d3e4-4e39-a5a2-656e3fc7c870,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3780170606,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:04.430+00:00,2022-05-30T23:13:04.430+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,Left of the bridge near the playground located at the corner of of Edenbrooke Dr and Barklya Cres Sinnamon Park,,1759503,,,[],2021-06-28T23:42:16.000+00:00,6.0,,,,bc663a3a-d3e4-4e39-a5a2-656e3fc7c870,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
5,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,50.0,Australia,AU,,247,8259,e4473544-f4cd-4429-b791-39d6e1fdb0a4,Keith R. McDonalds Incidental Records,,24.0,-17.283889,145.578611,,,,,,,2021-07-24T00:00:00,2045160,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.63_1', 'name': 'Tablelands'}}",3778755387,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Verified,,[],06fb5bae-d4c6-4595-824f-0b74cfe9a5f9,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3778755387,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:12:22.514+00:00,2022-05-30T23:12:22.514+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,"RN150 Mather Road, Yungaburra",,1769804,,,[],2021-08-31T04:41:59.000+00:00,7.0,,,,06fb5bae-d4c6-4595-824f-0b74cfe9a5f9,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
6,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,MACHINE_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,5.0,Australia,AU,,247,103,e4473544-f4cd-4429-b791-39d6e1fdb0a4,WildNet Incidental Records,,7.0,-26.687481,152.853709,,,,,,,2021-07-07T00:00:00,2045128,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.62_1', 'name': 'Sunshine Coast'}}",3779430933,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Confirmed,,[],d8bdb825-f586-4f59-8768-63e2cde91bf0,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3779430933,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:04.747+00:00,2022-05-30T23:13:04.747+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,Sunshine Coast Great Walk - Obi Obi Creek at base of switchbacks when accessed from Lake Baroon,,1769752,,,[],2021-08-31T04:41:58.000+00:00,7.0,,,,d8bdb825-f586-4f59-8768-63e2cde91bf0,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
7,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,MACHINE_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,50.0,Australia,AU,,247,103,e4473544-f4cd-4429-b791-39d6e1fdb0a4,WildNet Incidental Records,,10.0,-26.573663,152.741631,,,,,,,2021-07-10T00:00:00,2045130,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.62_1', 'name': 'Sunshine Coast'}}",3779718560,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Confirmed,,[],2f77b85a-088a-41a1-8087-df05868ba893,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3779718560,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:12:58.194+00:00,2022-05-30T23:12:58.194+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,Mary River at Parklands Campgrounds Kenilworth off the Kenilworth-Brooloo Road Kenilworth Queensland,,1769754,,,[],2021-10-11T04:12:44.000+00:00,7.0,,,,2f77b85a-088a-41a1-8087-df05868ba893,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
8,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,100.0,Australia,AU,,247,8259,e4473544-f4cd-4429-b791-39d6e1fdb0a4,Keith R. McDonalds Incidental Records,,28.0,-17.283889,145.578611,,,,,,,2021-08-28T00:00:00,2047781,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.63_1', 'name': 'Tablelands'}}",3779753277,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Verified,,[],54f43d08-4e85-4402-907c-235cff9f4ede,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3779753277,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:31.365+00:00,2022-05-30T23:13:31.365+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,"RN150 Mather Rd, Yungaburra",,1740400,,,[],2021-10-27T04:54:08.000+00:00,8.0,,,,54f43d08-4e85-4402-907c-235cff9f4ede,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
9,"Ornithorhynchus anatinus (Shaw, 1799)",2433376,,,HUMAN_OBSERVATION,,,Mammalia,359,Incidental Records,31,,OCEANIA,1e-05,100.0,Australia,AU,,247,8259,e4473544-f4cd-4429-b791-39d6e1fdb0a4,Keith R. McDonalds Incidental Records,,22.0,-17.283889,145.578611,,,,,,,2021-08-22T00:00:00,2047767,,{},[],Ornithorhynchidae,5940,,,"{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.63_1', 'name': 'Tablelands'}}",3780171807,Ornithorhynchus,Ornithorhynchus,2433375,WGS84,,,,,,,,,,,3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,Ornithorhynchus anatinus,7000,,,Verified,,[],e6f14237-88d9-4699-a06d-4d1a4befab80,[],False,,19893c10-381e-4534-9bb8-6c37d03ad29e,,3461,,False,,,['COORDINATE_ROUNDED'],NT,3780171807,Animalia,1,en,2022-05-30T22:43:47.584+00:00,2022-05-30T23:13:08.943+00:00,2022-05-30T23:13:08.943+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,,"RN150 Mather Rd, Yungaburra",,1740400,,,[],2021-10-27T04:54:08.000+00:00,8.0,,,,e6f14237-88d9-4699-a06d-4d1a4befab80,,PRESENT,Monotremata,791,,,,Department of Environment and Science,Chordata,44,,,,DWC_ARCHIVE,AU,96835ce2-d3af-4f6e-af81-faa0c7576fa4,,,[],,[],,Queensland Government,,"Ornithorhynchus anatinus (Shaw, 1799)",,Ornithorhynchus anatinus,2433376,anatinus,,Queensland,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,836,2433376,SPECIES,ACCEPTED,,,,,,,,Platypus,,2021.0
